episode_id,scenario,seed
lab_024,benign_ping,3003
lab_005,two_hop,3007
lab_006,scan_only,3014
lab_007,legitimate_ssh,3010
lab_008,one_hop,3008
lab_009,failed_guessing,3021
lab_010,two_hop,3004
lab_011,benign_ping,3001
lab_012,one_hop,3006
lab_013,scan_only,3012
lab_014,failed_guessing,3042
lab_015,legitimate_ssh,3018
lab_016,two_hop,3005
lab_017,one_hop,3024
lab_018,benign_ping,3000
lab_019,failed_guessing,3027
lab_020,scan_only,3002
lab_021,legitimate_ssh,3025
lab_022,one_hop,3022
lab_023,two_hop,3011
