episode_id,scenario,seed,duration_seconds
lab_025,benign_ping,4003,120
lab_026,benign_ping,4014,120
lab_027,two_hop,4002,120
lab_028,benign_ping,4020,120
lab_029,legitimate_ssh,4027,120
lab_030,legitimate_ssh,4000,120
lab_031,scan_only,4004,120
lab_032,legitimate_ssh,4009,120
lab_033,failed_guessing,4018,120
lab_034,scan_only,4005,120
lab_035,one_hop,4017,120
lab_036,scan_only,4007,120
lab_037,benign_ping,4036,120
lab_038,failed_guessing,4054,120
lab_039,two_hop,4011,120
lab_040,failed_guessing,4015,120
lab_041,legitimate_ssh,4008,120
lab_042,one_hop,4022,120
lab_043,scan_only,4028,120
lab_044,one_hop,4019,120
lab_045,failed_guessing,4016,120
lab_046,two_hop,4012,120
lab_047,one_hop,4024,120
lab_048,two_hop,4006,120
