episode_id,scenario,seed,duration_seconds,cohort,split,paired_family,defender_action
lab_073,scan_guess_action_permit,6000,120,action_conditioning,train,action_6000,permit_ssh
lab_074,scan_guess_action_block,6000,120,action_conditioning,train,action_6000,block_ssh
lab_075,scan_guess_action_permit,6001,120,action_conditioning,train,action_6001,permit_ssh
lab_076,scan_guess_action_block,6001,120,action_conditioning,train,action_6001,block_ssh
lab_077,scan_guess_action_permit,6002,120,action_conditioning,train,action_6002,permit_ssh
lab_078,scan_guess_action_block,6002,120,action_conditioning,train,action_6002,block_ssh
lab_079,scan_guess_action_permit,6003,120,action_conditioning,train,action_6003,permit_ssh
lab_080,scan_guess_action_block,6003,120,action_conditioning,train,action_6003,block_ssh
lab_081,scan_guess_action_permit,6004,120,action_conditioning,train,action_6004,permit_ssh
lab_082,scan_guess_action_block,6004,120,action_conditioning,train,action_6004,block_ssh
lab_083,scan_guess_action_permit,6009,120,action_conditioning,train,action_6009,permit_ssh
lab_084,scan_guess_action_block,6009,120,action_conditioning,train,action_6009,block_ssh
lab_085,scan_guess_action_permit,7000,120,action_conditioning,test,action_7000,permit_ssh
lab_086,scan_guess_action_block,7000,120,action_conditioning,test,action_7000,block_ssh
lab_087,scan_guess_action_permit,7001,120,action_conditioning,test,action_7001,permit_ssh
lab_088,scan_guess_action_block,7001,120,action_conditioning,test,action_7001,block_ssh
lab_089,scan_guess_action_permit,7002,120,action_conditioning,test,action_7002,permit_ssh
lab_090,scan_guess_action_block,7002,120,action_conditioning,test,action_7002,block_ssh
lab_091,scan_guess_action_permit,7004,120,action_conditioning,test,action_7004,permit_ssh
lab_092,scan_guess_action_block,7004,120,action_conditioning,test,action_7004,block_ssh
lab_093,scan_guess_action_permit,7005,120,action_conditioning,test,action_7005,permit_ssh
lab_094,scan_guess_action_block,7005,120,action_conditioning,test,action_7005,block_ssh
lab_095,scan_guess_action_permit,7007,120,action_conditioning,test,action_7007,permit_ssh
lab_096,scan_guess_action_block,7007,120,action_conditioning,test,action_7007,block_ssh
lab_097,scan_guess_then_stop,8000,120,passive_branching,test,passive_prefix_8000,none
lab_098,one_hop,8000,120,passive_branching,test,passive_prefix_8000,none
lab_099,scan_guess_then_stop,8002,120,passive_branching,test,passive_prefix_8002,none
lab_100,one_hop,8002,120,passive_branching,test,passive_prefix_8002,none
lab_101,scan_guess_then_stop,8003,120,passive_branching,test,passive_prefix_8003,none
lab_102,one_hop,8003,120,passive_branching,test,passive_prefix_8003,none
lab_103,matched_legitimate_ssh,8004,120,direct_credential,test,direct_8004,none
lab_104,credential_one_hop,8004,120,direct_credential,test,direct_8004,none
lab_105,matched_legitimate_ssh,8010,120,direct_credential,test,direct_8010,none
lab_106,credential_one_hop,8010,120,direct_credential,test,direct_8010,none
lab_107,matched_legitimate_ssh,8014,120,direct_credential,test,direct_8014,none
lab_108,credential_one_hop,8014,120,direct_credential,test,direct_8014,none
