episode_id,scenario,seed,duration_seconds,cohort,split,paired_family,defender_action,background_profile,topology_profile,node_count
lab_109,scan_guess_action_permit,10197,150,scan_action,train,v5_train_scan_action_10197,permit_ssh,quiet,flat_five_host,5
lab_110,scan_guess_action_block,10197,150,scan_action,train,v5_train_scan_action_10197,block_ssh,quiet,flat_five_host,5
lab_111,scan_guess_action_permit,10016,150,scan_action,train,v5_train_scan_action_10016,permit_ssh,web,flat_five_host,5
lab_112,scan_guess_action_block,10016,150,scan_action,train,v5_train_scan_action_10016,block_ssh,web,flat_five_host,5
lab_113,scan_guess_action_permit,10011,150,scan_action,train,v5_train_scan_action_10011,permit_ssh,admin,flat_five_host,5
lab_114,scan_guess_action_block,10011,150,scan_action,train,v5_train_scan_action_10011,block_ssh,admin,flat_five_host,5
lab_115,scan_guess_action_permit,10006,150,scan_action,train,v5_train_scan_action_10006,permit_ssh,mixed,flat_five_host,5
lab_116,scan_guess_action_block,10006,150,scan_action,train,v5_train_scan_action_10006,block_ssh,mixed,flat_five_host,5
lab_117,scan_guess_action_permit,10020,150,scan_action,train,v5_train_scan_action_10020,permit_ssh,quiet,flat_five_host,5
lab_118,scan_guess_action_block,10020,150,scan_action,train,v5_train_scan_action_10020,block_ssh,quiet,flat_five_host,5
lab_119,scan_guess_action_permit,10001,150,scan_action,train,v5_train_scan_action_10001,permit_ssh,web,flat_five_host,5
lab_120,scan_guess_action_block,10001,150,scan_action,train,v5_train_scan_action_10001,block_ssh,web,flat_five_host,5
lab_121,credential_action_permit,10179,150,credential_action,train,v5_train_credential_action_10179,permit_ssh,admin,flat_five_host,5
lab_122,credential_action_block,10179,150,credential_action,train,v5_train_credential_action_10179,block_ssh,admin,flat_five_host,5
lab_123,credential_action_permit,10113,150,credential_action,train,v5_train_credential_action_10113,permit_ssh,mixed,flat_five_host,5
lab_124,credential_action_block,10113,150,credential_action,train,v5_train_credential_action_10113,block_ssh,mixed,flat_five_host,5
lab_125,credential_action_permit,10044,150,credential_action,train,v5_train_credential_action_10044,permit_ssh,quiet,flat_five_host,5
