episode_id,scenario,seed,duration_seconds,cohort,split,evaluation_scope,paired_family,defender_action,background_profile,topology_profile,active_node_count,service_profile,telemetry_profile,prefix_contract,forecast_focus
lab_189,second_hop_action_permit,24787,150,action_ablation,train,development,v6_train_action_ablation_24787,permit_ssh,quiet,flat5,5,ssh_password,network_auth,same_prefix_through_cutoff,second_hop
lab_190,second_hop_action_block,24787,150,action_ablation,train,development,v6_train_action_ablation_24787,block_ssh,quiet,flat5,5,ssh_password,network_auth,same_prefix_through_cutoff,second_hop
lab_191,second_hop_action_permit,28301,150,action_ablation,train,development,v6_train_action_ablation_28301,permit_ssh,web,segmented7,7,ssh_key,network_auth,same_prefix_through_cutoff,second_hop
lab_192,second_hop_action_block,28301,150,action_ablation,train,development,v6_train_action_ablation_28301,block_ssh,web,segmented7,7,ssh_key,network_auth,same_prefix_through_cutoff,second_hop
lab_193,second_hop_action_permit,27708,150,action_ablation,train,development,v6_train_action_ablation_27708,permit_ssh,admin,flat5,5,ssh_key,network_auth,same_prefix_through_cutoff,second_hop
lab_194,second_hop_action_block,27708,150,action_ablation,train,development,v6_train_action_ablation_27708,block_ssh,admin,flat5,5,ssh_key,network_auth,same_prefix_through_cutoff,second_hop
lab_195,second_hop_action_permit,23867,150,action_ablation,train,development,v6_train_action_ablation_23867,permit_ssh,mixed,segmented7,7,ssh_password,network_auth,same_prefix_through_cutoff,second_hop
lab_196,second_hop_action_block,23867,150,action_ablation,train,development,v6_train_action_ablation_23867,block_ssh,mixed,segmented7,7,ssh_password,network_auth,same_prefix_through_cutoff,second_hop
lab_197,second_hop_action_permit,23368,150,action_ablation,train,development,v6_train_action_ablation_23368,permit_ssh,web,flat5,5,ssh_password,network_auth,same_prefix_through_cutoff,second_hop
lab_198,second_hop_action_block,23368,150,action_ablation,train,development,v6_train_action_ablation_23368,block_ssh,web,flat5,5,ssh_password,network_auth,same_prefix_through_cutoff,second_hop
lab_199,second_hop_action_permit,24957,150,action_ablation,train,development,v6_train_action_ablation_24957,permit_ssh,admin,segmented7,7,ssh_key,network_auth,same_prefix_through_cutoff,second_hop
lab_200,second_hop_action_block,24957,150,action_ablation,train,development,v6_train_action_ablation_24957,block_ssh,admin,segmented7,7,ssh_key,network_auth,same_prefix_through_cutoff,second_hop
lab_201,second_hop_action_permit,36737,150,action_ablation,train,development,v6_train_action_ablation_36737,permit_ssh,mixed,flat5,5,ssh_key,network_auth,same_prefix_through_cutoff,second_hop
