episode_id,split
lab_189,train
lab_190,train
lab_191,train
lab_192,train
lab_193,train
lab_194,train
lab_195,train
lab_196,train
lab_197,train
lab_198,train
lab_199,train
lab_200,train
lab_201,train
lab_202,train
lab_203,train
lab_204,train
lab_205,train
lab_206,train
lab_207,train
lab_208,train
lab_209,train
lab_210,train
lab_211,train
lab_212,train
lab_213,train
lab_214,train
lab_215,train
lab_216,train
lab_217,train
lab_218,train
lab_219,train
lab_220,train
lab_221,train
lab_222,train
lab_223,train
lab_224,train
lab_225,train
lab_226,train
lab_227,train
lab_228,train
lab_229,train
lab_230,train
lab_231,train
lab_232,train
lab_233,train
lab_234,train
lab_235,train
lab_236,train
lab_237,train
lab_238,train
lab_239,train
lab_240,train
lab_241,train
lab_242,train
lab_243,train
lab_244,train
lab_245,train
lab_246,train
lab_247,train
lab_248,train
lab_249,train
lab_250,train
lab_251,train
lab_252,train
lab_253,train
lab_254,train
lab_255,train
lab_256,train
lab_257,train
lab_258,train
lab_259,train
lab_260,train
lab_261,train
lab_262,train
lab_263,train
lab_264,train
lab_265,train
lab_266,train
lab_267,train
lab_268,train
lab_269,train
lab_270,train
lab_271,train
lab_272,train
lab_273,train
lab_274,train
lab_275,train
lab_276,train
lab_277,validation
lab_278,validation
lab_279,validation
lab_280,validation
lab_281,validation
lab_282,validation
lab_283,validation
lab_284,validation
lab_285,validation
lab_286,validation
lab_287,validation
lab_288,validation
lab_289,validation
lab_290,validation
lab_291,validation
lab_292,validation
lab_293,validation
lab_294,validation
lab_295,validation
lab_296,validation
lab_297,validation
lab_298,validation
lab_299,validation
lab_300,validation
lab_301,validation
lab_302,validation
lab_303,validation
lab_304,validation
lab_305,validation
lab_306,validation
lab_307,validation
lab_308,validation
lab_309,validation
lab_310,validation
lab_311,validation
lab_312,validation
lab_313,validation
lab_314,validation
lab_315,validation
lab_316,validation
lab_317,test
lab_318,test
lab_319,test
lab_320,test
lab_321,test
lab_322,test
lab_323,test
lab_324,test
lab_325,test
lab_326,test
lab_327,test
lab_328,test
lab_329,test
lab_330,test
lab_331,test
lab_332,test
lab_333,test
lab_334,test
lab_335,test
lab_336,test
lab_337,test
lab_338,test
lab_339,test
lab_340,test
lab_341,test
lab_342,test
lab_343,test
lab_344,test
lab_345,test
lab_346,test
lab_347,test
lab_348,test
lab_349,test
lab_350,test
lab_351,test
lab_352,test
lab_353,test
lab_354,test
lab_355,test
lab_356,test
lab_357,test
lab_358,test
lab_359,test
lab_360,test
lab_361,test
lab_362,test
lab_363,test
lab_364,test
lab_365,test
lab_366,test
lab_367,test
lab_368,test
lab_369,test
lab_370,test
lab_371,test
lab_372,test
lab_373,test
lab_374,test
lab_375,test
lab_376,test
lab_377,test
lab_378,test
lab_379,test
lab_380,test
