event_id,dataset_id,source_file,timestamp,timestamp_resolution_sec,source_ip,source_port,destination_ip,destination_port,protocol,total_fwd_packets,total_backward_packets,total_length_of_fwd_packets,total_length_of_bwd_packets,syn_flag_count,ack_flag_count,rst_flag_count,fin_flag_count,flow_duration
0,lab_001,network.pcap,2026-09-05 13:34:11.494292021,1.0,10.77.0.20,0,10.77.0.40,0,1,1,0,98,0,0,0,0,0,0.0
1,lab_001,network.pcap,2026-09-05 13:34:11.494321108,1.0,10.77.0.40,0,10.77.0.20,0,1,1,0,98,0,0,0,0,0,0.0
2,lab_001,network.pcap,2026-09-05 13:34:14.498483896,1.0,10.77.0.20,0,10.77.0.40,0,1,1,0,98,0,0,0,0,0,0.0
3,lab_001,network.pcap,2026-09-05 13:34:14.498511076,1.0,10.77.0.40,0,10.77.0.20,0,1,1,0,98,0,0,0,0,0,0.0
4,lab_001,network.pcap,2026-09-05 13:34:17.502639054,1.0,10.77.0.20,0,10.77.0.40,0,1,1,0,98,0,0,0,0,0,0.0
5,lab_001,network.pcap,2026-09-05 13:34:17.502669096,1.0,10.77.0.40,0,10.77.0.20,0,1,1,0,98,0,0,0,0,0,0.0
6,lab_001,network.pcap,2026-09-05 13:34:20.507383108,1.0,10.77.0.20,0,10.77.0.40,0,1,1,0,98,0,0,0,0,0,0.0
7,lab_001,network.pcap,2026-09-05 13:34:20.507411003,1.0,10.77.0.40,0,10.77.0.20,0,1,1,0,98,0,0,0,0,0,0.0
8,lab_001,network.pcap,2026-09-05 13:34:23.390278101,1.0,10.77.0.1,5353,224.0.0.251,5353,17,1,0,183,0,0,0,0,0,0.0
9,lab_001,network.pcap,2026-09-05 13:34:23.511514902,1.0,10.77.0.20,0,10.77.0.40,0,1,1,0,98,0,0,0,0,0,0.0
10,lab_001,network.pcap,2026-09-05 13:34:23.511548042,1.0,10.77.0.40,0,10.77.0.20,0,1,1,0,98,0,0,0,0,0,0.0
11,lab_001,network.pcap,2026-09-05 13:34:26.515789032,1.0,10.77.0.20,0,10.77.0.40,0,1,1,0,98,0,0,0,0,0,0.0
12,lab_001,network.pcap,2026-09-05 13:34:26.515815020,1.0,10.77.0.40,0,10.77.0.20,0,1,1,0,98,0,0,0,0,0,0.0
13,lab_001,network.pcap,2026-09-05 13:34:29.520088911,1.0,10.77.0.20,0,10.77.0.40,0,1,1,0,98,0,0,0,0,0,0.0
14,lab_001,network.pcap,2026-09-05 13:34:29.520117044,1.0,10.77.0.40,0,10.77.0.20,0,1,1,0,98,0,0,0,0,0,0.0
15,lab_001,network.pcap,2026-09-05 13:34:32.524354934,1.0,10.77.0.20,0,10.77.0.40,0,1,1,0,98,0,0,0,0,0,0.0
16,lab_001,network.pcap,2026-09-05 13:34:32.524380922,1.0,10.77.0.40,0,10.77.0.20,0,1,1,0,98,0,0,0,0,0,0.0
17,lab_001,network.pcap,2026-09-05 13:34:35.528568983,1.0,10.77.0.20,0,10.77.0.40,0,1,1,0,98,0,0,0,0,0,0.0
18,lab_001,network.pcap,2026-09-05 13:34:35.528605938,1.0,10.77.0.40,0,10.77.0.20,0,1,1,0,98,0,0,0,0,0,0.0
19,lab_001,network.pcap,2026-09-05 13:34:38.810379982,1.0,10.77.0.1,443,10.77.0.20,36470,6,1,0,54,0,0,1,1,0,0.0
20,lab_001,network.pcap,2026-09-05 13:34:38.810363054,1.0,10.77.0.20,36470,10.77.0.1,443,6,1,0,74,0,1,0,0,0,0.0
21,lab_001,network.pcap,2026-09-05 13:34:41.316276073,1.0,10.77.0.1,22,10.77.0.20,55964,6,1,0,74,0,1,1,0,0,0.0
22,lab_001,network.pcap,2026-09-05 13:34:41.911827087,1.0,10.77.0.1,80,10.77.0.20,45542,6,1,0,54,0,0,1,1,0,0.0
23,lab_001,network.pcap,2026-09-05 13:34:41.717705965,1.0,10.77.0.1,3389,10.77.0.20,52658,6,1,0,54,0,0,1,1,0,0.0
24,lab_001,network.pcap,2026-09-05 13:34:41.616626024,1.0,10.77.0.20,33030,10.77.0.30,3389,6,1,0,74,0,1,0,0,0,0.0
25,lab_001,network.pcap,2026-09-05 13:34:41.317162991,1.0,10.77.0.20,41194,10.77.0.30,443,6,1,0,74,0,1,0,0,0,0.0
26,lab_001,network.pcap,2026-09-05 13:34:41.718955040,1.0,10.77.0.20,42472,10.77.0.40,80,6,1,0,74,0,1,0,0,0,0.0
27,lab_001,network.pcap,2026-09-05 13:34:41.616951942,1.0,10.77.0.20,45370,10.77.0.40,3389,6,1,0,74,0,1,0,0,0,0.0
28,lab_001,network.pcap,2026-09-05 13:34:41.911809921,1.0,10.77.0.20,45542,10.77.0.1,80,6,1,0,74,0,1,0,0,0,0.0
29,lab_001,network.pcap,2026-09-05 13:34:41.717685938,1.0,10.77.0.20,52658,10.77.0.1,3389,6,1,0,74,0,1,0,0,0,0.0
30,lab_001,network.pcap,2026-09-05 13:34:41.718748093,1.0,10.77.0.20,53912,10.77.0.30,80,6,1,0,74,0,1,0,0,0,0.0
31,lab_001,network.pcap,2026-09-05 13:34:41.317434072,1.0,10.77.0.20,54142,10.77.0.40,443,6,1,0,74,0,1,0,0,0,0.0
32,lab_001,network.pcap,2026-09-05 13:34:41.515512942,1.0,10.77.0.20,54628,10.77.0.30,22,6,3,0,206,0,1,2,1,0,9.799003601074219e-05
33,lab_001,network.pcap,2026-09-05 13:34:41.316232920,1.0,10.77.0.20,55964,10.77.0.1,22,6,3,0,206,0,1,2,1,0,0.000164031982421875
