state_id,window_start,technique_ids,tactics,actors,targets,has_lateral_movement
0,2026-09-05 13:34:10+00:00,,,,,0
1,2026-09-05 13:34:15+00:00,,,,,0
2,2026-09-05 13:34:20+00:00,,,,,0
3,2026-09-05 13:34:25+00:00,,,,,0
4,2026-09-05 13:34:30+00:00,,,,,0
5,2026-09-05 13:34:35+00:00,T1046,Discovery,ws1,internal_subnet,0
6,2026-09-05 13:34:40+00:00,T1046,Discovery,ws1,internal_subnet,0
7,2026-09-05 13:34:50+00:00,T1046,Discovery,ws1,internal_subnet,0
8,2026-09-05 13:34:55+00:00,T1046,Discovery,ws1,internal_subnet,0
9,2026-09-05 13:35:15+00:00,T1110.001,Credential Access,ws1,srv1,0
10,2026-09-05 13:35:20+00:00,T1110.001,Credential Access,ws1,srv1,0
11,2026-09-05 13:35:30+00:00,T1021.004,Lateral Movement,ws1,srv1,1
12,2026-09-05 13:35:45+00:00,,,,,0
