state_id,window_start,flow_count,unique_hosts,unique_src_hosts,unique_dst_hosts,unique_edges,new_edges,internal_edges,total_bytes,total_packets,syn_count,rst_count,fin_count,max_out_fanout,mean_out_fanout,dst_port_entropy
0,2026-09-05 13:34:10,4,2,2,2,2,2,2,392.0,4.0,0.0,0.0,0.0,1.0,1.0,-0.0
1,2026-09-05 13:34:15,2,2,2,2,2,0,2,196.0,2.0,0.0,0.0,0.0,1.0,1.0,-0.0
2,2026-09-05 13:34:20,5,4,3,3,3,1,2,575.0,5.0,0.0,0.0,0.0,1.0,0.75,0.7219280948873623
3,2026-09-05 13:34:25,4,2,2,2,2,0,2,392.0,4.0,0.0,0.0,0.0,1.0,1.0,-0.0
4,2026-09-05 13:34:30,2,2,2,2,2,0,2,196.0,2.0,0.0,0.0,0.0,1.0,1.0,-0.0
5,2026-09-05 13:34:35,4,3,3,3,4,2,4,324.0,4.0,1.0,1.0,0.0,2.0,1.3333333333333333,1.5
6,2026-09-05 13:34:40,28,4,4,4,6,2,6,2248.0,34.0,17.0,14.0,0.0,3.0,1.5,4.056656707462824
7,2026-09-05 13:34:50,2,2,2,2,2,0,2,128.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0
8,2026-09-05 13:34:55,1,2,1,1,1,0,0,183.0,1.0,0.0,0.0,0.0,1.0,0.5,-0.0
9,2026-09-05 13:35:15,6,2,2,2,2,0,2,15508.0,50.0,4.0,0.0,2.0,1.0,1.0,1.4591479170272448
10,2026-09-05 13:35:20,6,2,2,2,2,0,2,8228.0,31.0,2.0,0.0,4.0,1.0,1.0,1.4591479170272448
11,2026-09-05 13:35:30,2,2,2,2,2,0,2,11512.0,45.0,2.0,0.0,2.0,1.0,1.0,1.0
12,2026-09-05 13:35:45,2,2,2,2,2,2,2,10326.0,44.0,2.0,0.0,2.0,1.0,1.0,1.0
