state_id,window_start,flow_count,unique_hosts,unique_src_hosts,unique_dst_hosts,unique_edges,new_edges,internal_edges,total_bytes,total_packets,syn_count,rst_count,fin_count,max_out_fanout,mean_out_fanout,dst_port_entropy
0,2017-07-07 13:00:00,136,34,14,27,38,38,19,258533.0,1616.0,4.0,0.0,0.0,9.0,1.1176470588235294,3.5902310417238636
1,2017-07-07 13:01:00,72,29,16,20,38,26,18,60060.0,585.0,3.0,0.0,0.0,5.0,1.3103448275862069,3.066169431526703
2,2017-07-07 13:02:00,50,28,15,20,33,18,13,104839.0,668.0,3.0,0.0,0.0,6.0,1.1785714285714286,3.337356244080568
3,2017-07-07 13:03:00,35,27,12,19,26,14,8,26909.0,268.0,2.0,0.0,0.0,9.0,0.9629629629629629,2.5970204317138035
4,2017-07-07 13:04:00,1135,137,45,129,180,161,17,5500882.0,12874.0,10.0,0.0,5.0,98.0,1.313868613138686,1.9922406530520258
5,2017-07-07 13:05:00,88,53,13,48,55,7,6,26305.0,315.0,1.0,0.0,0.0,38.0,1.0377358490566038,2.3158114462311756
6,2017-07-07 13:06:00,144,64,48,30,76,31,15,1863353.0,2761.0,14.0,0.0,3.0,13.0,1.1875,5.241343194033038
7,2017-07-07 13:07:00,269,45,31,35,62,28,13,6577450.0,8005.0,20.0,0.0,3.0,16.0,1.3777777777777778,2.7253064925915735
8,2017-07-07 13:08:00,1145,131,66,122,211,183,15,9292571.0,18989.0,25.0,1.0,6.0,65.0,1.6106870229007633,2.6696039173041655
9,2017-07-07 13:09:00,270,75,38,61,102,41,20,462971.0,2089.0,7.0,0.0,0.0,16.0,1.36,3.7796737477074385
10,2017-07-07 13:10:00,194,58,36,42,83,16,18,245843.0,1428.0,30.0,0.0,2.0,14.0,1.4310344827586208,4.1893324984162765
11,2017-07-07 13:11:00,898,144,86,130,235,142,15,8724932.0,13825.0,44.0,0.0,5.0,70.0,1.6319444444444444,2.7868368680632236
12,2017-07-07 13:12:00,165,73,31,66,90,22,14,190260.0,1102.0,14.0,0.0,5.0,20.0,1.2328767123287672,3.6477569175652915
13,2017-07-07 13:13:00,419,84,54,70,118,68,13,1224743.0,3919.0,15.0,0.0,10.0,30.0,1.4047619047619047,2.9804211634445053
14,2017-07-07 13:14:00,384,76,49,70,113,54,12,1680455.0,4379.0,33.0,0.0,0.0,48.0,1.486842105263158,3.1136360653017054
15,2017-07-07 13:15:00,436,84,50,67,113,67,12,3897998.0,6873.0,21.0,0.0,0.0,42.0,1.3452380952380953,2.9267715119621682
16,2017-07-07 13:16:00,158,53,35,36,71,18,21,141686.0,1086.0,12.0,0.0,0.0,7.0,1.3396226415094339,4.247301319811606
